kg/t conversion factor,1000,,,
g/kg,1000,,,
,,,,
Transportation by Gas Vehicle,Reference Product Name,Reference Product Unit,,
Manufacturing (Materials + Processing) per Vehicule,,,,
"alkyd paint, white, without solvent, in 60% solution state",4.368,kg,,
"aluminium, primary, ingot",54.38999999999999,kg,,
"chromium oxide, flakes",2.5200000000000005,kg,,
"sheet rolling, copper",21.21,kg,,
"electronics, for control units",6.11625,kg,,
ethylene,19.425,kg,,
ethylene glycol,5.040000000000001,kg,,
"flat glass, uncoated",31.605,kg,,
"heat, district or industrial, natural gas",2331,MJ,,
lead,13.65,kg,,
"Light fuel oil, burned in furnace 1MW of greenhouse/MJ - RER",66.15,MJ,,
"nickel, class 1",1.47,kg,,
"polyethylene, high density, granulate",107.1,kg,,
"polypropylene, granulate",51.45000000000001,kg,,
"polyvinylchloride, suspension polymerised",16.8,kg,,
"section bar rolling, steel",213.15,kg,,
"sheet rolling, steel",568.05,kg,,
"steel, low-alloyed, hot rolled",1039.5,kg,,
sulfuric acid,0.84,kg,,
synthetic rubber,46.30500000000001,kg,,
tap water,3381,kg,,
zinc,6.1845,kg,,
"electricity, medium voltage",624.1666666666666,kWh,,
"Transportation per vehicle
*Please see note in top-corner*",Directly Use Numbers Below,,,
"transport, freight train",0.00371,t-km,,
"transport, freight, lorry 16-32 metric ton",0.00039382,t-km,,
"transport, freight, sea, container ship",0.06933333333333333,t-km,,
"Use phase  per  Vehicle-km)
*Please see note in top-corner*",Directly Use Numbers Below,,,
"Supply chain petrol, low-sulfur",0.0619047619047619,kg,,
Direct combustion,0.0619047619047619,kg,,
"Disposal
Determine using given information",,,,
emulsion paint incineration,,kg,,
glass incineration,,kg,,
plastic mixture incineration,,kg,,
zinc in car shredder residue incineration,,kg,,
aluminium recycling,,kg,,
,,,,
Transportation by Electric Vehicle,Reference Product Name,Reference Product Unit,,
Manufacturing (Materials + Processing),,,,
"alkyd paint, white, without solvent, in 60% solution state",,kg,,
"Battery, Li-ion, rechargeable, prismatic",,kg,,
Copper,,kg,,
"Electronics, for control units",,kg,,
ethylene glycol,,kg,,
extruded and thermoformed plastic sheets,,kg,,
"flat glass, uncoated",,kg,,
lubricating oil,,kg,,
"Metal working, average for aluminium product manufacturing",,kg,,
"Metal working, average for steel product manufacturing",,kg,,
"Polypropylene, granulate",,kg,,
"Polyurethane, rigid foam",,kg,,
"steel, low-alloyed, hot rolled",,kg,,
synthetic rubber,,kg,,
"Transportation
*Please see note in top-corner*",,,,
"transport, freight train",,t-km,,
"transport, freight, lorry 16-32 metric ton",,t-km,,
"transport, freight, sea, container ship",,t-km,,
"Use phase
*Please see note in top-corner*",,,,
"electricity, medium voltage RER",,kWh,,
For use phase sensitivity analyses: ,,,,
"electricity, wind, 1-3MW turbine, onshore",,kWh,,
"electricity, photovoltaic, 
570kWp open ground installation",,kWh,,
"electricity, hard coal",,kWh,,
Disposal,,,,
Recyling of iron and mixed metal scrap,,kg,,
Determine using given information,,,,
glass at landfill,,kg,,
mineral oil incineration,,kg,,
"plastic, mixture at landfill",,kg,,
waste polyurethane foam,,kg,,
aluminium recycling,,kg,,
,,,,
,,,,
,,,,
