Additional flows for case studies,,,,,,,,,,,,,
,conversion kg_to_g,1000,g/kg,,Category,air,fossil+nuclear+primary forest,CO2 fossil/total non renewable energy,,climate change,,,
,,,,,Indicator,"CO2, fossil",non-renewable energy resources,Check combustion included,,GWP 100a,"renewable energy resources, total","Non-renewable  + renewable energy resources, total",
,Activity Name,Geography,Reference Product Name,Reference Product Unit,Reference Product Amount,kg,MJ-Eq,gCO2/MJ,,kg CO2-Eq,MJ-Eq,MJ-Eq,
290,almond production,RoW,almond,kg,1,0.93887342,14.8428554954,63.3,,1.5554667,30.397064528999998,45.24,Materials
15123,"market for skimmed milk, from cow milk",GLO,"skimmed milk, from cow milk",kg,1,0.58062162,6.18393127,93.9,,1.0787907,8.9031618956,15.09,
16196,market group for tap water,GLO,tap water,kg,1,0.00069386944,0.01144539021377,60.6,,0.00076631983,0.0011884455953,0.01,
6697,"market group for electricity, medium voltage",GLO,"electricity, medium voltage",kWh,1,0.62502985,9.75809443811,64.1,,0.693167,1.053366756757,10.81,Processing
15601,"market for steam, in chemical industry",RoW,"steam, in chemical industry",kg,1,0.31125063,4.57072576909,68.1,,0.33345091,0.043937405139999997,4.61,
12927,"paper production, woodfree, coated, at integrated mill",RoW,"paper, woodfree, coated",kg,1,1.0551386,17.489923398000002,60.3,,1.224888,32.20146227106,49.69,
16629,"market for transport, freight, lorry 16-32 metric ton, EURO4",RoW,"transport, freight, lorry 16-32 metric ton, EURO4",metric ton*km,1,0.16557683,2.71316117779,61,,0.17185733,0.02943124489,2.74,transport
16874,"transport, passenger car, EURO 5",RoW,"transport, passenger car, EURO 5",km,1,0.30367903,4.671244960069999,65,,0.32027197,0.11084764607,4.78,
1103,market for biowaste,RoW,biowaste,kg,-1,0.031960268,0.44839074043599997,71.3,,0.19980084,0.024705738839999998,0.47,disposal
18981,"market for wastewater, average",RoW,"wastewater, average",m3,-1,0.46006843,6.1748408554,74.5,,0.55417947,0.5021165067,6.68,
18153,"treatment of waste paperboard, sanitary landfill",CH,waste paperboard,kg,-1,0.0080252904,0.28024026069860003,28.6,,1.5497476,0.04819314157,0.33,
16763,"transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, R134a refrigerant, freezing",GLO,"transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, R134a refrigerant, freezing",metric ton*km,1,0.25234015,4.0470087908500005,62.4,,0.29547763,0.04941935224,4.1,
258,"alkyd paint production, white, solvent-based, product in 60% solution state",RER,"alkyd paint, white, without solvent, in 60% solution state",kg,1,4.891,61.91,0,,5.4372182,20.95,82.86,Manufacturing (Materials + Processing)
470,"aluminium production, primary, ingot",RoW,"aluminium, primary, ingot",kg,1,19.249,218.9,0,,20.97429,3.51,222.41,
2017,"chromium oxide production, flakes",RoW,"chromium oxide, flakes",kg,1,5.632,56.4,0,,6.0199005,4.42,60.82,
15025,"sheet rolling, copper",RER,"sheet rolling, copper",kg,1,0.419,7.02,0,,0.47229947,1.38,8.4,
6808,"electronics production, for control units",RER,"electronics, for control units",kg,1,27.934,448.25,0,,31.49787,48.64,496.89,
7031,"ethylene production, average",RER,ethylene,kg,1,1.13,66.77,0,,1.4535583,0.2,66.97,
7049,ethylene glycol production,RER,ethylene glycol,kg,1,1.288,49.88,0,,1.5171342,2.02,51.9,
7381,"market for flat glass, uncoated",RoW,"flat glass, uncoated",kg,1,0.959,11.44,0,,1.0141071,0.49,11.93,
8465,"market for heat, district or industrial, natural gas",RoW,"heat, district or industrial, natural gas",MJ,1,0.034,0.67,0,,0.037879735,0,0.67,
10999,market for lead,GLO,lead,kg,1,1.221,16.67,0,,1.3573807,1.83,18.5,
1601,"light fuel oil, burned in industrial furnace 1MW, non-modulating",RER,"Light fuel oil, burned in furnace 1MW of greenhouse/MJ",MJ,1,0.085,1.28,0,,0.08659,0,1.28,*
12292,"market for nickel, class 1",GLO,"nickel, class 1",kg,1,14.803,275.14,0,,18.711015,221.99,497.13,
13492,"market for polyethylene, high density, granulate",GLO,"polyethylene, high density, granulate",kg,1,1.919,79.36,0,,2.315399,1.01,80.37,
13532,"polypropylene production, granulate",RER,"polypropylene, granulate",kg,1,1.517,77.07,0,,1.9003221,1,78.07,
13598,"market for polyvinylchloride, suspension polymerised",GLO,"polyvinylchloride, suspension polymerised",kg,1,2.114,57.35,0,,2.4231058,2.01,59.36,
14863,"section bar rolling, steel",RER,"section bar rolling, steel",kg,1,0.16,1.52,0,,0.17059246,0.26,1.78,
15028,"sheet rolling, steel",RER,"sheet rolling, steel",kg,1,0.284,4.96,0,,0.31869152,0.43,5.39,
15688,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",kg,1,1.919,25.22,0,,2.2139538,2.16,27.38,
15998,market for sulfuric acid,RER,sulfuric acid,kg,1,0.093,3.28,0,,0.10553827,0.17,3.45,
16111,market for synthetic rubber,GLO,synthetic rubber,kg,1,2.439,83.6,0,,2.727539,3.12,86.72,
16201,"tap water production, conventional treatment",RoW,tap water,kg,1,0,0.01,0,,0.00033307439,0,0.01,
19516,market for zinc,GLO,zinc,kg,1,2.523,42.35,0,,2.7140714,5.62,47.97,
981,"battery production, Li-ion, rechargeable, prismatic",GLO,"battery, Li-ion, rechargeable, prismatic",kg,1,7.048,114.57,0,,8.1666348,14.11,128.68,
7137,"extrusion of plastic sheets and thermoforming, inline",RoW,"extrusion of plastic sheets and thermoforming, inline",kg,1,0.967,14.3,0,,1.0782862,1.55,15.85,
11311,lubricating oil production,RER,lubricating oil,kg,1,1.064,65.31,0,,1.1874221,1.28,66.59,
11683,"market for metal working, average for aluminium product manufacturing",GLO,"metal working, average for aluminium product manufacturing",kg,1,3.464,45.98,0,,4.0603889,4.49,50.47,
11694,"metal working, average for steel product manufacturing",RER,"metal working, average for steel product manufacturing",kg,1,1.479,25.19,0,,1.6605252,2.86,28.05,
13590,"market for polyurethane, rigid foam",RoW,"polyurethane, rigid foam",kg,1,4.972,121.67,0,,6.4054308,5.67,127.34,Transport
16525,"market group for transport, freight train",RER,"transport, freight train",metric ton*km,1,0.042,0.7,0,,0.044801749,0.07,0.77,
16629,"market for transport, freight, lorry 16-32 metric ton, EURO4",RoW,"transport, freight, lorry 16-32 metric ton, EURO4",metric ton*km,1,0.166,2.71,0,,0.17185733,0.03,2.74,
16822,"transport, freight, sea, container ship",GLO,"transport, freight, sea, container ship",metric ton*km,1,0.009,0.13,0,,0.0094049824,0,0.13,Disposal
17771,"treatment of waste emulsion paint, municipal incineration",CH,waste emulsion paint,kg,-1,1.111,1.83,0,,1.1236763,0.19,2.02,
17853,"treatment of waste glass, municipal incineration",CH,waste glass,kg,-1,0.011,0.27,0,,0.013427409,0.01,0.28,
18250,"treatment of waste plastic, mixture, municipal incineration",CH,"waste plastic, mixture",kg,-1,2.335,0.48,0,,2.3458359,0.04,0.52,
19537,"treatment of zinc in car shredder residue, municipal incineration",CH,zinc in car shredder residue,kg,-1,0.222,1.68,0,,0.23252513,0.18,1.86,
493,"treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter",RoW,"aluminium, wrought alloy",kg,1,0.729,9.02,0,,0.7999219,1.3,10.32,
9875,"treatment of metal scrap, mixed, for recycling, unsorted, sorting",RoW,"iron scrap, sorted, pressed",kg,1,0.051,0.73,0,,0.089742351,0.03,0.76,
17851,"treatment of waste glass, inert material landfill",CH,waste glass,kg,-1,0.004,0.15,0,,0.0042370221,0,0.15,
17961,"treatment of waste mineral oil, hazardous waste incineration",CH,waste mineral oil,kg,-1,2.841,0.25,0,,2.8430456,0.01,0.26,
18257,"treatment of waste plastic, mixture, sanitary landfill",CH,"waste plastic, mixture",kg,-1,0.024,0.24,0,,0.096838258,0.01,0.25,
18621,market for waste polyurethane foam,RoW,waste polyurethane foam,kg,-1,0.471,0.67,0,,0.62918377,0.01,0.68,Operation/Use
13041,"market for petrol, low-sulfur",Europe without Switzerland,"petrol, low-sulfur",kg,1,0.583,54.4,0,,0.63547923,0.18,54.58,*also used in manufacturing for gas vehicle
6705,"market group for electricity, medium voltage",UCTE,"electricity, medium voltage",kWh,1,0.4,9.07,0,,0.42848921,1.27,10.34,
4964,"electricity production, wind, 1-3MW turbine, onshore",RoW,"electricity, high voltage",kWh,1,0.013,0.2,0,,0.014481565,3.88,4.08,
6311,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si",RoW,"electricity, low voltage",kWh,1,0.068,1.03,0,,0.078110457,4.02,5.05,
4946,"electricity production, hard coal",RoW,"electricity, high voltage",kWh,1,0.992,10.34,95.9,,1.0089833,0.1,10.44,
