Life Cycle stage,"Quantity per FU = per 800 lumen over 5,000 hours",Unit,Energy/Unit  [MJ/Unit],Energy per FU [MJ/FU],fraction,CO2/Unit [kg/unit],CO2/FU     [kg/FU],fraction2,Check g CO2/MJ
Materials,,,,,,,,,
Glass (20g/bulb),0.1,kg,11.5,1.1500000000000001,0.0003151577056627004,0.63,0.063,0.000294222219569552,54.78260869565217
Aluminum (15g/bulb),0.075,kg,160,12,0.003288602146045569,9.5,0.7125,0.003327513197512791,59.37500000000001
Tungsten (0.7g/bulb),0.0035,kg,133,0.4655,0.00012757035824868438,12.6,0.0441,0.00020595555369868642,94.73684210526315
Packaging (10g/bulb),0.05,kg,20,1,0.0002740501788371308,1,0.05,0.00023350969807107305,50
Processing,,,,,,,,,
Bulb manufacturing,5,bulb,0.38,1.9,0.0005206953397905484,0.0228,0.114,0.0005324021116020466,60.00000000000001
Transportation bulb + packaging,,,,,,,,,
Truck 3200 km,0.731,t.km,2.6,1.9006,0.0005208597698978508,0.15,0.10965,0.0005120867678698632,57.692307692307686
Freight 10000 km,2.285,t.km,0.17,0.3884500000000001,0.00010645479196928347,0.0104,0.023764,0.00011098248929921959,61.17647058823528
Use phase,,,,,,,,,
Electricity lighting,300,kWh,12.1,3630,0.9948021491787847,0.71,213,0.9947513137827712,58.67768595041322
Disposal,,,,,,,,,
Packaging,0.05,kg,0.71,0.0355,9.728781348718142e-06,0.03,0.0015,7.005290942132191e-06,42.25352112676057
Bulb,0.1785,kg,0.71,0.126735,3.4731749414923764e-05,0.03,0.0053549999999999995,2.500888866341192e-05,42.25352112676056
Total,,,,,,,,,
Total,,,,3648.9667849999996,,,214.123869,,58.68068459274837
kg/t conversion factor,1000,,,,,,,,
g/kg,1000,,,,,,,,
,,,,,,,,,
