,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
3,"dried roughage store, air dried, solar, operation",CH,kg,0,agricultural means of production,buildings,1.08,0.030358,28.1,0.032473,,
5,"dried roughage store, cold-air dried, conventional, operation",CH,kg,0,agricultural means of production,buildings,1.41,0.032982,23.4,0.03539,,
7,"dried roughage store, non ventilated, operation",CH,kg,0,agricultural means of production,buildings,0.22,0.013927,63.3,0.014708,,
10,"housing system with fully-slatted floor, pig, operation",CH,pig place,0,agricultural means of production,buildings,2305.77,55.615,24.1,59.433,,
12,"label housing system, pig, operation",CH,pig place,0,agricultural means of production,buildings,596.68,33.07,55.4,35.023,,
14,"loose housing system, cattle, operation",CH,LU,0,agricultural means of production,buildings,13093.3,390.4,29.8,421.97,,
18,"slurry store and processing, operation",CH,m3,0,agricultural means of production,buildings,3.43,0.051709,15.1,0.055915,,
20,"tied housing system, cattle, operation",CH,LU,0,agricultural means of production,buildings,12126.6,413.52,34.1,440.41,,
22,"barley IP, at feed mill",CH,kg,0,agricultural means of production,feed,4.02,0.21046,52.4,0.53489,,
23,"barley organic, at feed mill",CH,kg,0,agricultural means of production,feed,3.23,0.17413,53.9,0.59801,,
24,"fava beans IP, at feed mill",CH,kg,0,agricultural means of production,feed,6.14,0.33005,53.8,1.1635,,
25,"grain maize IP, at feed mill",CH,kg,0,agricultural means of production,feed,4.9,0.26874,54.8,0.65625,,
26,"grain maize organic, at feed mill",CH,kg,0,agricultural means of production,feed,4.2,0.23426,55.8,0.48504,,
27,"protein peas IP, at feed mill",CH,kg,0,agricultural means of production,feed,6.25,0.33232,53.2,1.133,,
28,"rye IP, at feed mill",CH,kg,0,agricultural means of production,feed,3.58,0.18665,52.1,0.42762,,
29,"rye organic, at feed mill",CH,kg,0,agricultural means of production,feed,3.26,0.17631,54.1,0.5844,,
30,"wheat IP, at feed mill",CH,kg,0,agricultural means of production,feed,4.5,0.23618,52.5,0.67738,,
31,"wheat organic, at feed mill",CH,kg,0,agricultural means of production,feed,3.45,0.1873,54.3,0.64708,,
38,"ammonium nitrate phosphate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,103.32,5.0935,49.3,5.3913,,
39,"ammonium nitrate phosphate, as P2O5, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,21.85,1.2231,56,1.2824,,
40,"ammonium nitrate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,60.3,2.8886,47.9,8.6461,,
41,"ammonium sulphate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,46.17,2.6383,57.1,2.7873,,
42,"calcium ammonium nitrate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,62.41,3.0035,48.1,8.7688,,
43,"calcium nitrate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,65.9,3.7663,57.2,3.9783,,
44,"diammonium phosphate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,58.04,2.7225,46.9,2.8879,,
45,"diammonium phosphate, as P2O5, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,23,1.5493,67.4,1.6203,,
46,"lime, algae, at regional storehouse",CH,kg,0,agricultural means of production,mineral fertiliser,4.1,0.21254,51.8,0.22654,,
47,"lime, from carbonation, at regional storehouse",CH,kg,0,agricultural means of production,mineral fertiliser,0.19,0.011151,58.7,0.011605,,
48,"monoammonium phosphate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,58.46,2.759,47.2,2.9274,,
49,"monoammonium phosphate, as P2O5, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,23.62,1.5821,67,1.6552,,
50,"potassium chloride, as K2O, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,9.38,0.47485,50.6,0.53168,,
51,"potassium nitrate, as K2O, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,16.15,0.84132,52.1,0.92113,,
52,"potassium nitrate, as N, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,92.4,4.6628,50.5,16.11,,
53,"potassium sulphate, as K2O, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,25.24,1.4353,56.9,1.53,,
54,"single superphosphate, as P2O5, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,48.43,2.5756,53.2,2.7126,,
55,"stone meal, at regional storehouse",CH,kg,0,agricultural means of production,mineral fertiliser,1.38,0.076833,55.7,0.082987,,
56,"thomas meal, as P2O5, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,11.76,0.72255,61.4,0.74921,,
57,"triple superphosphate, as P2O5, at regional storehouse",RER,kg,0,agricultural means of production,mineral fertiliser,33.19,1.9783,59.6,2.0762,,
10772,"application, digested matter from biowaste in agricultural co-digestion, covered",CH,kg,0,agricultural means of production,organic fertiliser,0,,#DIV/0!,0.012289,,
58,"compost, at plant",CH,kg,0,agricultural means of production,organic fertiliser,0.52,0.0242,46.5,0.3411,,
59,"horn meal, at regional storehouse",CH,kg,0,agricultural means of production,organic fertiliser,4.8,0.28017,58.4,0.29224,,
60,"poultry manure, dried, at regional storehouse",CH,kg,0,agricultural means of production,organic fertiliser,2.33,0.10186,43.7,0.10578,,
