foodcode_desc,sr_code,sr_desc,sr_wt,New weights,Contribtuion
"Burrito with beef, beans, rice, and cheese",1009,"cheese, cheddar",3.03674460977832,6.07348921955664,0.06727211570803905
"Burrito with beef, beans, rice, and cheese",1025,pepper jack cheese,1.51837230488916,,0
"Burrito with beef, beans, rice, and cheese",1028,"cheese, mozzarella, part skim milk",1.51837230488916,,0
"Burrito with beef, beans, rice, and cheese",2047,"salt,table",0.609794218091264,0.609794218091264,0.006754296536073097
"Burrito with beef, beans, rice, and cheese",6164,"sauce, ready-to-serve, salsa",6.6808381415123,,0
"Burrito with beef, beans, rice, and cheese",16103,"refried beans, canned, traditional style (includes usda commodity)",13.0580018220468,13.0580018220468,0.14463504877228422
"Burrito with beef, beans, rice, and cheese",18364,"tortillas, ready-to-bake or -fry, flour",31.8858184026723,31.8858184026723,0.35317860746720436
"Burrito with beef, beans, rice, and cheese",20345,"rice, white, long-grain, regular, cooked, enriched, with salt",13.0580018220468,13.0580018220468,0.14463504877228422
"Burrito with beef, beans, rice, and cheese",23578,"beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",25.5973117642956,25.5973117642956,0.283524882744115
,,,,90.28241724870941,
