Conversion factor,,Risk component composition Meat Burrito,,,,,Risk component composition Veggie Burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g/100g,100,Common to both Burritos,,Meat Burrito only,,,Common to both Burritos,,Veggie Burrito only,,,,,,Minutes gained by µDALY,[min./µDALY],-0.52596,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrito composition,Total,"Cheese, cheddar",Refried beans,Tortilla,"Rice, white",Ground beef,"Cheese, cheddar",Refried beans,"Tortilla, whole wheat","Rice, brown",Vegetable combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of ingredient (%),0.9932457034639268,0.06727211570803905,0.14463504877228422,0.35317860746720436,0.14463504877228422,0.283524882744115,0.06727211570803905,0.14463504877228422,0.35317860746720436,0.14463504877228422,0.283524882744115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass of each ingredient (g/burrito serving),140,9.418096199125467,20.248906828119793,49.445005045408614,20.248906828119793,39.69348358417611,9.418096199125467,20.248906828119793,49.445005045408614,20.248906828119793,39.69348358417611,,,,Meat Burrito (140g/burrito serving),Profiling:  dr - Risk component composition per burrito serving,,,,,,Dietary risk factors,DANI Effect on human health for each risk component-ingredient combination per burrito serving  ,,,,,DANI,,Veggie Burrito (140g/serving),Profiling:  dr - Risk component composition per burrito serving,,,,,,Dietary risk factors,DANI Effect on human health for each risk component-ingredient combination per burrito serving  ,,,,,DANI
Dietary factor,,"Cheese, cheddar (g/100g)",Refried beans (g/100g),Tortilla (g/100g),"Rice, white (g/100g)",Ground beef (g/100g),"Cheese, cheddar (g/100g)",Refried beans (g/100g),"Tortilla, whole wheat (g/100g)","Rice, brown (g/100g)",Vegetable combination (g/100g),,,,Dietary factor,"Cheese, cheddar (g/serving)",Refried beans (g/serving),Tortilla (g/serving),"Rice, white (g/serving)",Ground beef (g/serving),Total (g/serving), DRFs (μDALY/g),"Cheese, cheddar                  ( μDALY/serving)",Refried beans                           ( μDALY/serving),Tortilla                                  ( μDALY/serving),"Rice, white                           ( μDALY/serving)",Ground beef                          ( μDALY/serving),Total                                    (μDALY/serving),,Dietary factor,"Cheese, cheddar (g/serving)",Refried beans (g/serving),"Tortilla, whole wheat (g/serving)","Rice, brown (g/serving)",Vegetable combination (g/serving),Total (g/serving), DRFs (μDALY/g),"Cheese, cheddar   (μDALY/serving)",Refried beans           (μDALY/serving),"Tortilla Tortilla, whole wheat      (μDALY/serving)","Rice, brown                              ( μDALY/serving)",Vegetable combination            (μDALY/serving),Total                                    (μDALY/serving)
Omega-3 (seafood),,0,0,0,0,0,0,0,0,0,0,,Omega-3 (seafood),-80.66436,Omega-3 (seafood),0,0,0,0,0,0,-80.66436,0,0,0,0,0,0,,Omega-3 (seafood),0,0,0,0,0,0,-80.66436,0,0,0,0,0,0
Calcium (protective),calc,0.71,0.03431976923076923,0.146,0.010088071428571429,0.031933411764705884,0.71,0.03431976923076923,0.24400000000000002,0.003107142857142857,0.02439529411764706,,Calcium,-5.147637,Calcium (protective),0.06686848301379081,0.0069493780951641855,0.07218970736629657,0.0020427241843256018,0.012675483556690893,0.16072577621626807,-5.147637,-0.344214677295661,-0.03577287580965668,-0.3716064086579207,-0.010515202592029286,-0.06524878814931363,-0.8273579525045813,,Calcium (protective),0.06686848301379081,0.0069493780951641855,0.12064581231079703,0.0006291624621594363,0.009683342065899716,0.20477617794781117,-5.147637,-0.344214677295661,-0.03577287580965668,-0.6210408473461142,-0.003238699969223014,-0.04984632990208181,-1.0541134303227366
Nuts and seeds,,0,0,0,0,0,0,0,0,0,0,,Nuts and seeds,-1.53067,Nuts and seeds,0,0,0,0,0,0,-1.53067,0,0,0,0,0,0,,Nuts and seeds,0,0,0,0,0,0,-1.53067,0,0,0,0,0,0
Fiber (from other sources),fiber_non_fvlw,0,0,3.5000000000000004,0.3974842857142858,0,0,0,0,0,2.1349884705882354,,Fiberother,-0.992536,Fiber (from other sources),0,0,1.7305751765893018,0.0804862226707032,0,1.811061399260005,-0.992536,0,0,-1.7176581634712391,-0.07988547350468907,0,-1.7975436369759281,,Fiber (from other sources),0,0,0,0,0.8474512980969938,0.8474512980969938,-0.992536,0,0,0,0,-0.8411259216079978,-0.8411259216079978
PUFA,pfat,1.421,2.1324946153846156,2.29,0.075522,0.44724317647058826,1.421,2.1324946153846156,0.992,0.36413264285714286,1.0674294117647058,,Polyunsaturated fatty acids (PUFA),-0.605609,PUFA,0.13383114698957288,0.4318068477839024,1.1322906155398573,0.01529237941473263,0.17752639683370075,1.8907473865617659,-0.605609,-0.08104934709720824,-0.2615061132795613,-0.6857253873864774,-0.009261202604976813,-0.10751158366006067,-1.1450536340282842,,PUFA,0.13383114698957288,0.4318068477839024,0.49049445005045345,0.07373287958291307,0.42369991833149107,1.5535652427383329,-0.605609,-0.08104934709720824,-0.2615061132795613,-0.297047853400605,-0.044653295471328396,-0.25659648384081596,-0.9408530930895189
Whole grains,whole_grain,0,0,0,0,0,0,0,68,34.410535714285714,0,,Whole grains,-0.344554,Whole grains,0,0,0,0,0,0,-0.344554,0,0,0,0,0,0,,Whole grains,0,0,33.62260343087786,6.967757315842601,0,40.590360746720464,-0.344554,0,0,-11.584802502522692,-2.4007686542028317,0,-13.985571156725523
Legumes,legumes,0,88.05373846153846,0,0,0,0,88.05373846153846,0,0,0,,Legumes,-0.233127,Legumes,0,17.829919459753206,0,0,0,17.829919459753206,-0.233127,0,-4.1566356338938855,0,0,0,-4.1566356338938855,,Legumes,0,17.829919459753206,0,0,0,17.829919459753206,-0.233127,0,-4.1566356338938855,0,0,0,-4.1566356338938855
Fruits,,0,0,0,0,0,0,0,0,0,0,,Fruits,-0.186999,Fruits,0,0,0,0,0,0,-0.186999,0,0,0,0,0,0,,Fruits,0,0,0,0,0,0,-0.186999,0,0,0,0,0,0
"Fiber (from fruits, vegetables, and whole grains)",fiber_fvlw,0,5.261927769230769,0,5.551428571428571e-17,0,0,5.261927769230769,9.799999999999999,1.5918367142857142,2.1349884705882354,,"Fiberf,v,l,w",-0.177918,"Fiber (from fruits, vegetables, and whole grains)",0,1.0654828513545007,0,1.124103599058193e-17,0,1.0654828513545007,-0.177918,0,-0.18956857794729004,0,-1.999982641372356e-18,0,-0.18956857794729004,,"Fiber (from fruits, vegetables, and whole grains)",0,1.0654828513545007,4.845610494450043,0.32232953313151774,0.8474512980969938,7.080874177033055,-0.177918,0,-0.18956857794729004,-0.8621213279515628,-0.057348225875693375,-0.15077684005482095,-1.2598149718293672
Vegetables,vegetable,0,7.1475153076923075,0,0,0,0,7.1475153076923075,0,0,48.522464705882356,,Vegetables,-0.082939,Vegetables,0,1.447293715180215,0,0,0,1.447293715180215,-0.082939,0,-0.12003709344333185,0,0,0,-0.12003709344333185,,Vegetables,0,1.447293715180215,0,0,19.26025656266706,20.707550277847275,-0.082939,0,-0.12003709344333185,0,0,-1.5974264190510432,-1.7174635124943751
Milk,,0,0,0,0,0,0,0,0,0,0,,Milk,-0.007682,Milk,0,0,0,0,0,0,-0.007682,0,0,0,0,0,0,,Milk,0,0,0,0,0,0,-0.007682,0,0,0,0,0,0
SSB,,0,0,0,0,0,0,0,0,0,0,,Sugar-sweetened beverages (SSB),0.0655868,SSB,0,0,0,0,0,0,0.0655868,0,0,0,0,0,0,,SSB,0,0,0,0,0,0,0.0655868,0,0,0,0,0,0
Red meat,red_meat,0,0,0,0,91.36999176470587,0,0,0,0,0,,Red meat,0.0991487,Red meat,0,0,0,0,36.267932681986586,36.267932681986586,0.0991487,0,0,0,0,3.5959183771064835,3.5959183771064835,,Red meat,0,0,0,0,0,0,0.0991487,0,0,0,0,0,0
Processed meat,,0,0,0,0,0,0,0,0,0,0,,Processed meat,0.8587506,Processed meat,0,0,0,0,0,0,0.8587506,0,0,0,0,0,0,,Processed meat,0,0,0,0,0,0,0.8587506,0,0,0,0,0,0
Trans fat,transfat,0.9170000000000001,0.06333184615384616,0.052,0,1.0432368235294118,0.9170000000000001,0.06333184615384616,0,0,0.008581882352941177,,Trans fatty acids (TFA),4.4429954,Trans fat,0.08636394214598055,0.012824006520220477,0.025711402623612475,0,0.4140970372917273,0.5389963885815408,4.4429954,0.3837145976804577,0.056977001978909585,0.11423564358425817,0,1.839831231840773,2.3947584750843984,,Trans fat,0.08636394214598055,0.012824006520220477,0,0,0.0034064480629780124,0.10259439672917904,4.4429954,0.3837145976804577,0.056977001978909585,0,0,0.01513483307415022,0.4558264327335175
Sodium,sodi,0.6529999999999999,0.31658376923076925,0.736,0.24475471428571427,0.4091304705882353,0.6529999999999999,0.31658376923076925,0.512,0.2017245,0.24064082352941177,,Sodium,13.899503,Sodium,0.06150016818028929,0.06410475246448824,0.36391523713420737,0.04956015405314509,0.16239813618080365,0.7014784480129337,13.899503,0.8548217721224355,0.8910241991944117,5.058240930292627,0.6888615099421522,2.257253381039489,9.750201792591113,,Sodium,0.06150016818028929,0.06410475246448824,0.2531584258324921,0.040847006054490514,0.09551872578447325,0.5151290783162334,13.899503,0.8548217721224355,0.8910241991944117,3.518776299334001,0.5677530831954091,1.3276628155974632,7.160038169443721
"We have use the Index (array) to automatically look at the corresponding  value in the  Nutritional profile table, no need to do anything here",,,,,,,,,,,,,,,,,,,,Total DANI (μDALY/serving),,,0.8132723454100239,-3.815519093200405,2.3974866143612474,0.589199631240457,7.52024261817737,7.504682115988695,,,,,,,Total DANI (μDALY/serving),,,0.8132723454100239,-3.815519093200405,-9.846236231886973,-1.9382557923236674,-1.5529743457851464,-16.339713117786168
,,,,,,,,,,,,,,,,,,,,Total HENI (Minutes of Healthy lifetime gained/serving),,,-0.42774872279185616,2.0068104222596848,-1.2609820596894417,-0.3098954380472308,-3.9553468074565696,-3.947162605725414,,,,,,,Total HENI (Minutes of Healthy lifetime gained/serving),,,-0.42774872279185616,2.0068104222596848,5.178726408523272,1.019445016530556,0.8168023869091555,8.594035511430812
,,,,,,,,,,,,,,,,,,,,Contribution (%),,,0.10836866010318418,-0.5084184825192605,0.3194654453455679,0.07851093785640428,1.002073439214104,,,,,,,,Contribution (%),,,,,,,,
